sample_id	cluster_id	size	mean	std
BM34_M	1	3	0.6071608154047825	0.0285069858261902
BM34_P	1	3	0.4743410727366451	0.12488386384644137
BM34_M	2	7	0.5706986646503703	0.16397439825135793
BM34_P	2	7	0.32877098243331404	0.03695964018232539
BM34_M	3	1	0.7698418693931857	0.025384776697568254
BM34_P	3	1	0.3723393836040608	0.13071034122707506
BM34_M	4	91	0.050000801288440845	9.062762436151855e-05
BM34_P	4	91	0.07046799775576193	0.002865585472670449
BM34_M	5	11	0.017224456271840112	0.004482693523874562
BM34_P	5	11	0.02676709931681175	0.0052236533553079645
BM34_M	6	19	0.16861022719177673	0.005916158247284062
BM34_P	6	19	0.13101182454510749	0.011049236602385944
BM34_M	7	3	0.13031268264950752	0.03955959883411905
BM34_P	7	3	0.08466357778596585	0.020106223193338088
BM34_M	8	2	0.32520183502211486	0.09600785307218651
BM34_P	8	2	0.3579934025930209	0.10758820736385298
BM34_M	9	1	0.4142572576525519	0.13231254633454603
BM34_P	9	1	0.24509673223396947	0.09397957895051233
BM34_M	10	1	0.40674508392494946	0.12421746654261591
BM34_P	10	1	0.4029292632735495	0.1396784554536208
