sample_id	cluster_id	size	mean	std
BM31_P	1	49	0.029993093041570825	0.00026277907658611244
BM31_M	1	49	0.030001671050863273	0.00023656254967839452
BM31_P	2	83	0.06716562385426403	0.0045128682520063764
BM31_M	2	83	0.09028337757043298	0.002352535689944475
BM31_P	3	25	0.11905943058489833	0.016040653849052726
BM31_M	3	25	0.2255698590849627	0.015393633795636017
BM31_P	4	8	0.23481381149290978	0.045981232865338596
BM31_M	4	8	0.5313936816754997	0.01854478637694025
BM31_P	5	6	0.15672624855755313	0.017987206049681154
BM31_M	5	6	0.49528800230022646	0.14608421346408362
BM31_P	6	1	0.35476220874206027	0.10980400702258297
BM31_M	6	1	0.6202944235357591	0.18378249177200978
