sample_id	cluster_id	size	mean	std
BM36_P	1	10	0.020374588771536684	0.0019669683631210375
BM36_M	1	10	0.020666451397263412	0.0026052636050110955
BM36_L	1	10	0.022147654801227903	0.004136425558242502
BM36_P	2	49	0.06248781752563316	0.004328809064540826
BM36_M	2	49	0.08388971379310257	0.005562104642539513
BM36_L	2	49	0.07011452474267574	0.0026063587809721485
BM36_P	3	1	0.25038929434763996	0.09045518946580128
BM36_M	3	1	0.7176811946367283	0.03310238890576388
BM36_L	3	1	0.7312090419331153	0.22217701646972596
BM36_P	4	1	0.2522887535818622	0.09110366840595957
BM36_M	4	1	0.6054315324796937	0.12613723093887136
BM36_L	4	1	0.6979879350272968	0.22078385506622245
BM36_P	5	17	0.07686684880886452	0.010510879805143989
BM36_M	5	17	0.4149694263130366	0.014381607292520509
BM36_L	5	17	0.45528658861000476	0.015960240233735302
BM36_P	6	12	0.08143064230548923	0.014653128386805485
BM36_M	6	12	0.3008871080777841	0.014946256238461186
BM36_L	6	12	0.31224412556284364	0.01608347146308616
BM36_P	7	1	0.06118793964801602	0.027866888892162836
BM36_M	7	1	0.2069989530425349	0.07329856460315716
BM36_L	7	1	0.20200840793007538	0.07117236309098875
BM36_P	8	1	0.329465243391186	0.10182445559737069
BM36_M	8	1	0.31863108367067616	0.09916744481568404
BM36_L	8	1	0.3280771770276806	0.10092107111498538
